Standard Format: [2 digit author code][2 digit module code][1 digit set code][2 digit item code]

Author Code: [00]

Base Module [01]: {
	Blocks [0]: {
		Tier 1 Battery			[00-1000]
		Tier 2 Battery			[01-1001]
		Tier 3 Battery			[02-1002]
		Quantum Battery			[03-1003]
		Energy Relay			[04-1004]
		Machine Crafter			[05-1005]
		Creative Battery		[06-1006]
		Tier 1 Machine Frame	[07-1007]
		Tier 2 Machine Frame	[08-1008]
		Tier 3 Machine Frame	[09-1009]
		Tier 1 Capacitor		[10-1010]
		Tier 2 Capacitor		[11-1011]
		Tier 3 Capacitor		[12-1012]
	}
	Items [1]: {
		Wrench				[00-1100]
		Multimeter			[01-1101]
		Machine Upgrade		[02-1102]
		Nether Upgrade		[03-1103]
		Ender Upgrade		[04-1104]
		Manual				[05-1105]
		Bucket				[06-1106]
		Bottle				[07-1107]
		Vial				[08-1108]
	}
	Resources [3]: {		
		Tin Ore				[10-1310]
		Tin Ingot			[11-1311]
		Tin Nugget			[12-1312]
		Tin Raw				[13-1313]
		Tin Block			[14-1314]
		Tin Plate			[15-1315]
		Tin Gear			[16-1316]
		Tin Rod				[17-1317]
		Tin Raw Block		[18-1318]
		
		Titanium Ore		[20-1320]
		Titanium Ingot		[21-1321]
		Titanium Nugget		[22-1322]
		Titanium Raw		[23-1323]
		Titanium Block		[24-1324]
		Titanium Plate		[25-1325]
		Titanium Gear		[26-1326]
		Titanium Rod		[27-1327]
		Titanium Raw Block	[28-1328]
		
		Steel Ingot			[30-1330]
		Steel Nugget		[31-1331]
		Steel Raw			[32-1332]
		Steel Block			[33-1333]
		Steel Plate			[34-1334]
		Steel Gear			[35-1335]
		Steel Rod			[36-1336]
		Steel Raw Block		[37-1337]
		
		Structural Ingot	[40-1340]
		Structural Nugget	[41-1341]
		Structural Raw		[42-1342]
		Structural Block	[43-1343]
		Structural Plate	[44-1344]
		Structural Gear		[45-1345]
		Structural Rod		[46-1346]
		Structural Raw Block[47-1347]
		
		Conductive Ingot	[50-1350]
		Conductive Nugget	[51-1351]
		Conductive Raw		[52-1352]
		Conductive Bock 	[53-1353]
		Conductive Plate	[54-1354]
		Conductive Gear		[55-1355]
		Conductive Rod		[56-1356]
		Conductive Raw Block[57-157]
		
		Titanium Steel Ingot			[60-1360]
		Titanium Steel Nugget			[61-1361]
		Titanium Steel Raw				[62-1362]
		Titanium Steel Block			[63-1363]
		Titanium Steel Plate			[64-1364]
		Titanium Steel Gear				[65-1365]
		Titanium Steel Rod				[66-1366]
		Titanium Steel Raw Block		[67-1367]
		
		Reinforced Structural Ingot		[70-1370]
		Reinforced Structural Nugget	[71-1371]
		Reinforced Structural Raw		[72-1372]
		Reinforced Structural Block		[73-1373]
		Reinforced Structural Plate		[74-1374]
		Reinforced Structural Gear		[75-1375]
		Reinforced Structural Rod		[76-1376]
		Reinforced Structural Raw Block	[77-1377]
		
		Super Conductive Ingot		[80-1380]
		Super Conductive Nugget		[81-1381]
		Super Conductive Raw		[82-1382]
		Super Conductive Block		[83-1383]
		Super Conductive Plate		[84-1384]
		Super Conductive Gear		[85-1385]
		Super Conductive Rod		[86-1386]
		Super Conductive Raw Block	[87-1387]
		
		Ender Alloy Ingot		[90-1390]
		Ender Alloy Nugget		[91-1391]
		Ender Alloy Raw			[92-1392]
		Ender Alloy Block		[93-1393]
		Ender Alloy Plate		[94-1394]
		Ender Alloy Gear		[95-1395]
		Ender Alloy Rod			[96-1396]
		Ender Alloy Raw Block	[97-1397]
	}
	Resources 2 [4]: {
		Nether Alloy Ingot		[00-1400]
		Nether Alloy Nugget		[01-1401]
		Nether Alloy Raw		[02-1402]
		Nether Alloy Block		[03-1403]
		Nether Alloy Plate		[04-1404]
		Nether Alloy Gear		[05-1405]
		Nether Alloy Rod		[06-1406]
		Nether Alloy Raw Block	[07-1407]
		
		Crystal Composite		[10-1410]
		Crystal Block			[11-1411]
		Crystal Plate			[12-1412]
		Crystal Gear			[13-1413]
		Crystal Rod				[14-1414]
		
		Uranium Ore			[30-1430]
		Uranium Ingot		[31-1431]
		Uranium Nugget		[32-1432]
		Uranium Raw			[33-1433]
		Uranium Block		[34-1434]
		Uranium Plate		[35-1434]
		Uranium Gear		[36-1435]
		Uranium Rod			[37-1436]
		Uranium Raw Block	[38-1437]
		
		Plutonium Ingot		[40-1440]
		Plutonium Nugget	[41-1441]
		Plutonium Raw		[42-1442]
		Plutonium Block		[43-1443]
		Plutonium Plate		[44-1444]
		Plutonium Gear		[45-1445]
		Plutonium Rod		[46-1446]
		Plutonium Raw Block	[47-1447]
		
		Iron Plate			[50-1450]
		Iron Gear			[51-1451]
		Iron Rod			[52-1452]
		
		Gold Plate			[60-1460]
		Gold Gear			[61-1461]
		Gold Rod			[62-1462]
		
		Copper Plate		[70-1470]
